country,province,region_1,variety,price,year,taster_name,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,is_blend
6.0,7.0,258.0,30.0,13.0,2006.0,6.0,1,0,0,0,0,0,0
7.0,10.0,195.0,10.0,28.0,2010.0,8.0,0,1,0,0,0,0,0
1.0,9.0,33.0,6.0,35.0,2012.0,9.0,1,0,0,0,0,0,0
7.0,62.0,410.0,187.0,37.0,2010.0,8.0,1,1,0,0,0,0,0
1.0,9.0,348.0,17.0,24.0,1998.0,10.0,0,0,0,0,1,0,0
5.0,58.0,229.0,15.0,18.0,2009.0,5.0,0,0,0,0,0,0,1
1.0,15.0,89.0,48.0,14.0,2014.0,10.0,0,1,0,0,0,0,0
1.0,25.0,40.0,24.0,18.0,1998.0,5.0,0,0,0,0,0,0,0
5.0,11.0,97.0,12.0,20.0,2014.0,3.0,1,0,0,0,0,0,1
1.0,9.0,276.0,6.0,36.0,2012.0,9.0,1,0,0,0,0,0,0
7.0,10.0,195.0,9.0,14.0,2014.0,8.0,1,0,0,0,0,0,1
1.0,1.0,15.0,9.0,30.0,2012.0,1.0,1,0,0,0,0,1,1
10.0,233.0,54.0,30.0,125.0,2011.0,6.0,0,0,0,0,0,0,0
1.0,9.0,63.0,28.0,26.0,2013.0,11.0,0,0,0,0,0,0,0
1.0,9.0,51.0,30.0,85.0,2010.0,0.0,0,0,0,0,0,0,0
1.0,1.0,1.0,12.0,34.0,2008.0,10.0,1,0,0,0,0,1,1
1.0,9.0,115.0,15.0,28.0,2008.0,11.0,0,0,0,0,0,0,1
6.0,7.0,3.0,8.0,16.0,2011.0,6.0,0,1,0,0,0,0,0
7.0,10.0,16.0,10.0,10.0,2015.0,8.0,1,0,0,0,0,0,0
1.0,9.0,222.0,6.0,39.0,2013.0,11.0,0,0,1,0,0,0,0
15.0,170.0,54.0,211.0,14.0,2007.0,2.0,1,0,0,0,0,0,0
7.0,40.0,314.0,143.0,25.0,2012.0,8.0,1,0,0,0,0,0,0
6.0,27.0,240.0,25.0,30.0,2009.0,6.0,0,0,0,0,0,0,0
7.0,22.0,41.0,27.0,25.0,2011.0,8.0,1,0,0,0,0,0,0
1.0,15.0,311.0,8.0,28.0,2014.0,10.0,0,0,0,0,0,0,0
1.0,9.0,49.0,8.0,16.0,2014.0,11.0,0,1,0,0,0,0,0
1.0,25.0,40.0,6.0,14.0,2007.0,0.0,0,0,0,0,0,0,0
8.0,14.0,515.0,247.0,14.0,2014.0,6.0,0,1,0,0,0,0,0
1.0,9.0,149.0,6.0,35.0,2014.0,7.0,0,0,0,0,0,0,0
11.0,188.0,697.0,30.0,13.0,2008.0,0.0,1,0,0,0,0,0,0
7.0,10.0,64.0,28.0,15.0,2011.0,0.0,0,0,0,0,0,0,0
1.0,25.0,40.0,24.0,20.0,2009.0,12.0,0,0,0,0,0,1,0
1.0,9.0,119.0,6.0,36.0,2010.0,0.0,1,0,0,0,1,0,0
14.0,67.0,54.0,24.0,20.0,2011.0,3.0,0,1,0,0,0,0,0
1.0,1.0,1.0,9.0,33.0,2012.0,1.0,1,0,0,0,0,0,1
5.0,37.0,70.0,48.0,38.0,2012.0,15.0,0,0,0,0,1,0,0
1.0,9.0,54.0,30.0,175.0,2008.0,0.0,0,0,0,0,1,0,0
1.0,9.0,140.0,9.0,20.0,2014.0,7.0,0,0,0,0,1,0,1
1.0,9.0,125.0,6.0,80.0,2011.0,7.0,1,0,0,0,0,0,0
8.0,14.0,20.0,18.0,40.0,2010.0,6.0,0,0,0,0,1,0,1
9.0,141.0,54.0,24.0,40.0,2006.0,5.0,0,0,0,0,1,1,0
1.0,9.0,37.0,131.0,21.0,2010.0,0.0,1,0,0,0,0,1,0
1.0,9.0,49.0,6.0,44.0,2011.0,11.0,1,0,0,0,0,0,0
3.0,51.0,54.0,61.0,13.0,2012.0,3.0,1,1,0,0,0,0,0
7.0,16.0,215.0,9.0,46.0,2012.0,8.0,1,0,0,0,1,0,1
5.0,58.0,340.0,15.0,25.0,2011.0,5.0,1,0,0,0,1,0,1
1.0,9.0,31.0,6.0,44.0,2013.0,11.0,0,0,0,0,0,0,0
2.0,63.0,54.0,49.0,30.0,2011.0,4.0,0,0,0,0,0,1,0
1.0,9.0,130.0,43.0,55.0,1997.0,0.0,0,0,0,0,0,0,0
27.0,193.0,54.0,191.0,24.0,2014.0,13.0,0,0,0,0,1,0,0
3.0,3.0,54.0,61.0,25.0,2010.0,3.0,0,0,0,0,0,0,0
1.0,15.0,42.0,6.0,34.0,2008.0,10.0,0,0,0,0,0,1,0
1.0,9.0,156.0,8.0,30.0,2014.0,11.0,0,0,0,0,0,0,0
3.0,33.0,54.0,3.0,26.0,2014.0,3.0,0,0,0,0,0,0,0
1.0,15.0,188.0,53.0,26.0,2013.0,10.0,0,0,0,0,1,0,0
5.0,8.0,11.0,6.0,22.0,2009.0,3.0,1,0,0,0,0,0,0
1.0,1.0,55.0,30.0,15.0,2006.0,10.0,0,0,0,0,0,0,0
1.0,9.0,54.0,17.0,20.0,2014.0,11.0,0,0,0,0,0,0,0
1.0,9.0,31.0,6.0,49.0,2008.0,0.0,0,0,0,0,0,1,0
1.0,9.0,19.0,26.0,11.0,2007.0,0.0,0,0,0,0,0,1,0
7.0,98.0,239.0,8.0,34.0,2011.0,0.0,0,0,0,1,0,0,0
1.0,9.0,5.0,64.0,45.0,2010.0,11.0,1,0,0,0,0,0,0
1.0,9.0,31.0,6.0,45.0,2014.0,11.0,1,0,1,0,0,0,0
1.0,9.0,74.0,8.0,28.0,2013.0,9.0,0,1,0,0,0,0,0
3.0,33.0,54.0,228.0,130.0,2011.0,3.0,0,0,0,0,0,0,0
1.0,25.0,40.0,12.0,22.0,2013.0,12.0,1,0,0,0,0,0,1
1.0,15.0,42.0,8.0,17.0,1999.0,0.0,0,0,0,0,1,0,0
1.0,9.0,245.0,64.0,29.0,2008.0,0.0,0,0,0,0,0,0,0
7.0,22.0,320.0,148.0,14.0,2005.0,0.0,0,0,0,0,0,0,0
14.0,43.0,54.0,278.0,25.0,2008.0,3.0,0,0,0,0,0,1,0
5.0,11.0,8.0,12.0,39.0,2014.0,3.0,0,0,0,0,1,0,1
5.0,11.0,101.0,12.0,20.0,2014.0,3.0,1,0,0,0,0,0,1
1.0,9.0,37.0,26.0,11.0,2009.0,0.0,0,1,0,0,1,0,0
5.0,37.0,70.0,41.0,18.0,2013.0,3.0,0,0,0,0,0,0,0
3.0,51.0,54.0,61.0,9.0,2012.0,3.0,0,0,0,0,0,0,0
1.0,15.0,48.0,24.0,25.0,2009.0,10.0,0,0,0,0,1,0,0
1.0,9.0,92.0,36.0,18.0,2014.0,7.0,0,1,0,0,0,0,1
1.0,9.0,173.0,6.0,50.0,2014.0,9.0,1,0,0,0,0,0,0
7.0,17.0,378.0,30.0,70.0,2014.0,8.0,1,0,0,0,1,0,0
1.0,9.0,155.0,6.0,50.0,2009.0,0.0,0,0,0,0,0,1,0
8.0,19.0,332.0,11.0,25.0,2016.0,6.0,0,0,1,0,0,0,0
5.0,32.0,190.0,26.0,20.0,2010.0,3.0,0,0,0,0,0,0,0
6.0,27.0,546.0,25.0,13.0,2011.0,6.0,0,0,0,0,0,0,0
5.0,37.0,70.0,24.0,20.0,2012.0,3.0,0,0,0,0,0,0,0
1.0,9.0,220.0,34.0,56.0,2008.0,11.0,1,0,0,0,0,1,0
5.0,82.0,54.0,62.0,16.0,2005.0,3.0,0,0,0,0,0,0,0
7.0,10.0,16.0,9.0,11.0,2015.0,8.0,0,0,0,0,0,0,1
7.0,22.0,28.0,27.0,50.0,2007.0,8.0,0,0,0,0,0,0,0
1.0,1.0,15.0,1.0,36.0,2005.0,10.0,1,0,0,0,0,0,0
2.0,2.0,54.0,134.0,8.0,2006.0,2.0,1,0,0,0,0,0,1
5.0,37.0,70.0,48.0,17.0,2015.0,15.0,0,0,0,0,1,0,0
9.0,24.0,54.0,24.0,43.0,2014.0,12.0,0,1,0,0,1,0,0
11.0,23.0,565.0,30.0,35.0,2012.0,5.0,0,0,0,0,0,0,0
9.0,59.0,54.0,41.0,17.0,2015.0,12.0,0,0,0,0,0,1,0
1.0,9.0,78.0,17.0,30.0,2009.0,0.0,0,0,0,0,0,0,0
1.0,1.0,15.0,24.0,9.0,2013.0,1.0,0,0,0,0,0,1,0
3.0,34.0,54.0,3.0,25.0,2010.0,3.0,1,0,0,0,0,0,0
5.0,6.0,2.0,11.0,30.0,2014.0,3.0,1,0,0,0,0,0,0
1.0,9.0,52.0,17.0,32.0,2010.0,11.0,0,0,0,0,0,1,0
5.0,37.0,70.0,24.0,25.0,2011.0,3.0,0,0,0,0,0,0,0
